<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p07/d1655	The Great Wall of China is over 5,500 miles long. 	"structure.n.01 Name ""Great Wall"" Location +1 country.n.02 Name ""China"" time.n.08 EQU now quantity.n.01 MOR +1 quantity.n.01 EQU 5500 mile.n.01 Quantity -2 long.a.02 Theme -6 Time -4 Value -1"												
p76/d3270	There used to be a coffee shop near the school. 	entity.n.01 time.n.08 TPR now be.v.03 Time -1 EQU -2 Theme +1 Location +2 coffee_shop.n.01 location.n.01 APX +1 school.n.02												
p22/d0914	The city of Aachen is administered as an independent district. 	"city.n.01 EQU +1 city.n.01 Name ""Aachen"" time.n.08 EQU now administer.v.01 Theme -3 Time -1 Attribute +2 independent.a.02 AttributeOf +1 district.n.01"												
p47/d0350	Ian gave Geoffrey a hard slap across his right ear. 	"male.n.02 Name ""Ian"" give.v.01 Agent -1 Time +1 Recipient +2 Theme +4 Location +7 time.n.08 TPR now male.n.02 Name ""Geoffrey"" hard.a.04 AttributeOf +1 slap.n.01 male.n.02 ANA -3 right.a.01 AttributeOf +1 ear.n.01 PartOf -2"												
p18/d2963	I have my supper at a quarter past seven. 	person.n.01 EQU speaker have.v.06 Agent -1 Time +1 Patient +3 Time +4 time.n.08 EQU now person.n.01 EQU speaker supper.n.01 Consumer -1 time.n.08 ClockTime 19:15												
p61/d3252	Tales of her courageous deeds rang through the country. 	tale.n.01 Content +3 female.n.02 courageous.a.01 AttributeOf +1 deed.n.02 Creator -2 ring.v.02 Theme -4 Time +1 Path +2 time.n.08 TPR now country.n.02												
p89/d3315	All of the sugar has fallen to the ground. 	NEGATION <1 entity.n.01 SubOf +1 sugar.n.01 NEGATION <1 fall.v.01 Theme -2 Time +1 Destination +2 time.n.08 TPR now ground.n.01												
p80/d3518	My dad drops in on me from time to time. 	person.n.01 EQU speaker person.n.01 Role +1 dad.n.01 Of -2 drop_in.v.01 Agent -2 Time +1 Co-Agent +2 Manner +3 time.n.08 EQU now person.n.01 EQU speaker from_time_to_time.r.01												
p98/d2436	The hunters captured the wild animal with a strong rope net. 	person.n.01 Role +1 hunter.n.01 capture.v.06 Agent -2 Time +1 Theme +3 Instrument +6 time.n.08 TPR now wild.a.02 AttributeOf +1 animal.n.01 strong.a.01 AttributeOf +2 rope.n.01 net.n.02 MadeOf -1												
p06/d1312	On the twentieth of January Lenz walked through the mountains. 	"time.n.08 DayOfMonth 20 time.n.08 MonthOfYear 1 EQU -1 male.n.02 Name ""Lenz"" walk.v.01 Time -3 Theme -1 Time +1 Path +2 time.n.08 TPR now mountain.n.01"												
p29/d2204	His parents as well as he are very kind to me. 	male.n.02 person.n.01 Role +1 parent.n.01 Of -2 entity.n.01 Sub -2 Sub +1 male.n.02 ANA -4 time.n.08 EQU now very.r.01 kind.a.01 AttributeOf -4 Time -2 Degree -1 Beneficiary +1 person.n.01 EQU speaker												
p55/d2671	He can bend an iron rod with his hands. 	male.n.02 POSSIBILITY <1 bend.v.03 Agent -1 Theme +2 Instrument +4 iron.a.01 AttributeOf +1 rod.n.01 male.n.02 ANA -4 hand.n.01 PartOf -1												
p83/d1392	What capital city do you see from the top of Bunker Hill? 	"state_capital.n.01 Name ? time.n.08 EQU now person.n.01 see.v.01 Stimulus -3 Time -2 Experiencer -1 Location +1 top.n.01 PartOf +1 hill.n.01 Name ""Bunker Hill"""												
p16/d1602	It took my eyes a moment to adjust to the darkness. 	time.n.08 TPR now person.n.01 EQU speaker eye.n.01 PartOf -1 moment.n.02 adjust.v.04 Time -4 Patient -2 Duration -1 Goal +1 darkness.n.01												
p36/d1127	At least 113 executions were carried out in Iran. 	"quantity.n.01 BOT +1 quantity.n.01 EQU 113 execution.n.01 Quantity -2 time.n.08 TPR now carry_out.v.01 Theme -2 Time -1 Location +1 country.n.02 Name ""Iran"""												
p47/d2419	The store sells foodstuffs, such as butter, cheese, and sugar. 	store.n.01 sell.v.01 Source -1 Time +1 Theme +2 time.n.08 EQU now foodstuff.n.01 Instance +3 butter.n.01 cheese.n.01 entity.n.01 Sub -2 Sub -1 Sub +1 sugar.n.01												
p25/d3227	Tom doesn't have a credit card or a bank account. 	"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 entity.n.01 NEGATION <1 NEGATION <1 credit_card.n.01 EQU -1 NEGATION <2 bank_account.n.01 EQU -2"												
p20/d3515	When I was a boy, I was addicted to reading detective stories. 	person.n.01 EQU speaker be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now boy.n.01 CONTINUATION <1 person.n.01 EQU speaker time.n.08 TPR now addicted.a.01 Experiencer -2 Time -1 Stimulus +1 read.v.01 Topic +1 detective_story.n.01												
p28/d3020	The neighbors' son won the spelling bee at school. 	person.n.01 Role +1 neighbor.n.01 person.n.01 Role +1 son.n.01 Of -3 win.v.01 Agent -2 Time +1 Theme +3 Location +4 time.n.08 TPR now spelling.n.01 bee.n.02 Theme -1 school.n.01												
p95/d1390	What was the first name of Gottfried Reinhardt's father? 	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now first_name.n.01 Bearer +2 male.n.02 Name ""Gottfried Reinhardt"" person.n.01 Role +1 father.n.01 Of -2"												
p42/d2269	It took him ten minutes to solve the problem. 	time.n.08 TPR now male.n.02 quantity.n.01 EQU 10 minute.n.01 Quantity -1 solve.v.01 Time -4 Agent -3 Duration -1 Theme +1 problem.n.02												
p32/d1056	The technology was first used on a patient in Munich in 1980. 	"technology.n.01 time.n.08 TPR now use.v.01 Time -1 Order 1 Theme -2 Patient +1 Location +3 Time +4 person.n.01 Role +1 patient.n.01 city.n.01 Name ""Munich"" time.n.08 YearOfCentury 1980"												
p39/d1990	Tom bumped into Mary and spilled his drink on her. 	"male.n.02 Name ""Tom"" bump_into.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now female.n.02 Name ""Mary"" spill.v.01 Agent -4 Time +1 Theme +3 Destination +4 time.n.08 TPR now male.n.02 ANA -6 drink.n.01 Consumer -1 female.n.02 ANA -5"												
p34/d3200	One, three, five, seven and nine are odd numbers. 	one.n.01 three.n.01 five.n.01 seven.n.01 entity.n.01 Sub -4 Sub -3 Sub -2 Sub -1 Sub +1 nine.n.01 be.v.01 Theme -2 Time +1 Co-Theme +3 time.n.08 EQU now odd.a.01 AttributeOf +1 number.n.02												
p45/d2491	An empathetic girl can empathize with a friend's feelings. 	empathetic.a.01 AttributeOf +1 girl.n.01 POSSIBILITY <1 empathize.v.01 Experiencer -1 Stimulus +3 person.n.01 Role +1 friend.n.01 feeling.n.01 Creator -2												
p91/d1513	The dining car's at the front end of the train. 	dining_car.n.01 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now front_end.n.01 PartOf +1 train.n.01												
p02/d0136	Tom asks his mother if she can but him a new toy. 	"male.n.02 Name ""Tom"" ask.v.02 Proposition >1 Agent -1 Time +1 Recipient +3 time.n.08 EQU now male.n.02 ANA -3 person.n.01 Role +1 mother.n.01 Of -2 CONTINUATION <0 female.n.02 POSSIBILITY <1 buy.v.01 Agent -1 Beneficiary +1 Theme +3 male.n.02 ANA -8 new.a.01 AttributeOf +1 toy.n.01"												
p53/d1419	I was born on the 31st of May in 1940. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 31 time.n.08 MonthOfYear 5 EQU -1 time.n.08 YearOfCentury 1940 EQU -1												
p60/d2708	The company invested a lot of money in this project. 	company.n.01 invest.v.01 Agent -1 Time +1 Theme +2 Beneficiary +4 time.n.08 TPR now entity.n.01 Quantity + EQU +1 money.n.01 project.n.01												
p83/d2210	A Californian policeman pulled a car over and spoke to the driver. 	"state.n.01 Name ""california"" person.n.01 Source -1 Role +1 policeman.n.01 pull_over.v.01 Agent -2 Time +1 Theme +2 time.n.08 TPR now car.n.01 speak.v.02 Agent -5 Time +1 Co-Agent +2 time.n.08 TPR now person.n.01 Role +1 driver.n.01"												
p10/d1384	Which state has the longest coastline on the Atlantic Ocean? 	"state.n.01 Name ? have.v.02 Pivot -1 Time +1 Theme +4 time.n.08 EQU now long.a.02 Degree +1 most.r.01 coastline.n.01 Attribute -2 Location +1 ocean.n.01 Name ""Atlantic Ocean"""												
p92/d2380	Tom named his squirrel Hazelnut, because it likes hazelnuts. 	"male.n.02 Name ""Tom"" time.n.08 TPR now name.n.02 Agent -2 Time -1 Theme +2 Result +3 male.n.02 ANA -3 squirrel.n.01 Owner -1 name.n.01 EQU ""Hazelnut"" EXPLANATION <1 entity.n.01 ANA -2 like.v.02 Experiencer -1 Time +1 Stimulus +2 time.n.08 EQU now hazelnut.n.02"												
p40/d2392	This book is so difficult that I can't read it. 	book.n.01 time.n.08 EQU now difficult.a.01 AttributeOf -2 Time -1 RESULT <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 read.v.01 Experiencer -1 Stimulus +1 entity.n.01 ANA -5												
p17/d2084	The atomic bomb destroyed the entire city of Hiroshima. 	"atomic_bomb.n.01 destroy.v.01 Causer -1 Time +1 Patient +3 time.n.08 TPR now entire.a.01 AttributeOf +1 city.n.01 EQU +1 city.n.01 Name ""Hiroshima"""												
p35/d1390	How many carjackings took place in Los Angeles in 1991? 	"carjacking.n.01 Quantity ? take_place.v.01 Theme -1 Time +1 EQU +2 Location +3 Time +4 time.n.08 TPR now entity.n.01 city.n.01 Name ""Los Angeles"" time.n.08 YearOfCentury 1991"												
p42/d0783	The Mississippi River flows into the Gulf of Mexico. 	"river.n.01 Name ""Mississippi River"" flow.v.02 Theme -1 Time +1 Destination +2 time.n.08 EQU now gulf.n.01 Name ""Gulf of Mexico"""												
p05/d2172	In August, I'm going to Japan with my friends. 	"time.n.08 MonthOfYear 8 person.n.01 EQU speaker time.n.08 TSU now go.v.01 Time -3 Theme -2 Time -1 Destination +1 Co-Theme +3 country.n.02 Name ""Japan"" person.n.01 EQU speaker person.n.01 Role +1 friend.n.01 Of -2"												
p97/d3141	They kidnapped me, drugged me, and then brainwashed me. 	person.n.01 kidnap.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now person.n.01 EQU speaker drug.v.01 Agent -4 Time +1 Patient +2 time.n.08 TPR now person.n.01 EQU speaker brainwash.v.02 Agent -7 Patient +1 person.n.01 EQU speaker												
p63/d0850	The top of Mt. Fuji was covered with snow. 	"top.n.03 PartOf +1 mountain.n.01 Name ""Mt. Fuji"" time.n.08 TPR now cover.v.01 Destination -3 Time -1 Theme +1 snow.n.02"												
p50/d3050	There are always a lot of vehicles on this road. 	NEGATION <1 time.n.08 NEGATION <1 entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +4 time.n.08 EQU now entity.n.01 Quantity + EQU +1 vehicle.n.01 road.n.01												
p70/d3207	We should drink 64 ounces of fluids a day. 	NEGATION <1 day.n.01 NEGATION <1 person.n.01 Sub speaker NECESSITY <1 drink.v.01 Time -2 Agent -1 Patient +3 quantity.n.01 EQU 64 ounce.n.01 Quantity -1 entity.n.01 Sub -1 Sub +1 fluid.n.01												
p72/d2894	Lancelot fell in love with King Arthur's wife Guinevere. 	"male.n.02 Name ""Lancelot"" fall.v.03 Patient -1 Time +1 Result +2 time.n.08 TPR now in_love.a.01 Experiencer -3 Stimulus +3 king.n.01 male.n.02 Name ""Arthur"" Title -1 person.n.01 Role +1 EQU +2 wife.n.01 Of -2 female.n.02 Name ""Guinevere"""												
p00/d3237	He saw a small Band-Aid on her left knee. 	male.n.02 see.v.01 Experiencer -1 Time +1 Stimulus +3 time.n.08 TPR now small.a.02 Value + band_aid.n.01 Attribute -1 Location +3 female.n.02 left.a.01 AttributeOf +1 knee.n.01 PartOf -2												
p39/d3147	The hotel charged me 8000 yen for the room. 	hotel.n.01 charge.v.03 Agent -1 Time +1 Recipient +2 Asset +4 Theme +5 time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 8000 yen.n.02 Quantity -1 room.n.01												
p01/d2713	Improved medical technology has been one of the spin-offs of the space program. 	improved.a.02 AttributeOf +2 medical.a.01 AttributeOf +1 technology.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now entity.n.01 Quantity 1 SubOf +1 spin-off.n.01 Causer +1 space_program.n.01												
p40/d0844	They sat in the shade of that big tree. 	person.n.01 sit.v.01 Agent -1 Time +1 Location +2 time.n.08 TPR now shade.n.01 Causer +2 big.a.01 AttributeOf +1 tree.n.01												
p50/d2237	The cyclists are wearing cyclist shorts made of spandex. 	person.n.01 Role +1 cyclist.n.01 time.n.08 EQU now wear.v.01 Agent -3 Time -1 Theme +2 cyclist.n.01 shorts.n.01 User -1 make.v.06 Product -1 Material +1 spandex.n.01												
p88/d1482	I tried to call him up, but the line was busy. 	person.n.01 EQU speaker try.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now call_up.v.02 Agent -3 Theme +1 male.n.02 CONTRAST <1 line.n.09 time.n.08 TPR now busy.a.05 AttributeOf -2 Time -1												
p43/d2051	He who has the money, also has the power. 	NEGATION <1 person.n.01 EQU +1 entity.n.01 have.v.01 Pivot -1 Theme +1 money.n.01 NEGATION <1 have.v.01 Pivot -3 Theme +1 power.n.01												
p60/d0799	I assure you that an error like this will never happen again. 	person.n.01 EQU speaker assure.v.01 Proposition >1 Agent -1 Time +1 Recipient +2 time.n.08 EQU now person.n.01 EQU hearer CONTINUATION <0 error.n.01 APX +1 entity.n.01 NEGATION <1 time.n.08 TSU now happen.v.02 Theme -3 Time -1												
p22/d3420	My uncle has lived in Paris for ten years. 	"person.n.01 EQU speaker person.n.01 Role +1 uncle.n.01 Of -2 live.v.01 Theme -2 Time +1 Location +2 Duration +4 time.n.08 TPR now city.n.01 Name ""Paris"" quantity.n.01 EQU 10 year.n.01 Quantity -1"												
p07/d1400	Is it true that you are in love with me? 	time.n.08 EQU now entity.n.01 true.a.01 Time -2 Proposition >1 EQU -1 CONTINUATION <0 person.n.01 EQU hearer time.n.08 EQU now in_love.a.01 Experiencer -2 Time -1 Stimulus +1 person.n.01 EQU speaker												
p20/d0798	This box is not as big as that one. 	box.n.01 NEGATION <1 time.n.08 EQU now as.r.01 Theme -2 Co-Theme +2 big.a.01 AttributeOf -3 Time -2 Degree -1 box.n.01												
p71/d2278	She lives near the beach, but she can't swim. 	female.n.02 live.v.01 Theme -1 Time +1 Location +2 time.n.08 EQU now location.n.01 APX +1 beach.n.01 CONTRAST <1 female.n.02 ANA -5 NEGATION <1 POSSIBILITY <1 swim.v.01 Theme -1												
p45/d1381	"What is the name of the heroine in ""Gone with the Wind""? "	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now name.n.01 Bearer +1 person.n.01 Role +1 heroine.n.01 Context +1 book.n.01 Name ""Gone with the Wind"""												
p48/d3227	Tom doesn't approve of the way Mary's been behaving. 	"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 EQU now approve.v.02 Agent -2 Time -1 Theme +1 way.n.01 Proposition >1 CONTINUATION <0 female.n.02 Name ""Mary"" time.n.08 TPR now behave.v.01 Theme -2 Time -1"												
p74/d3377	"Goethe's poem ""Mignon"" is widely read in Japan in Mori Ogai's excellent translation. "	"male.n.02 Name ""Goethe"" poem.n.01 Creator -1 EQU +1 poem.n.01 Name ""Mignon"" time.n.08 EQU now widely.r.01 read.v.01 Theme -4 Time -2 Manner -1 Context +1 Time +4 country.n.02 Name ""Japan"" male.n.02 Name ""Mori Ogai"" excellent.a.01 AttributeOf +1 translation.n.01 Creator -2"												
p25/d1719	The dowser used a dowsing rod to search for water. 	person.n.01 Role +1 dowser.n.01 use.v.01 Agent -2 Time +1 Theme +2 Goal +3 time.n.08 TPR now dowsing_rod.n.01 search.v.01 Agent -5 Theme +1 water.n.06												
p83/d2645	Tom crawled into bed and pulled the covers over himself. 	"male.n.02 Name ""Tom"" crawl.v.01 Theme -1 Time +1 Destination +2 time.n.08 TPR now bed.n.01 pull.v.01 Agent -4 Time +1 Theme +2 Destination +3 time.n.08 TPR now cover.n.02 male.n.02 ANA -7"												
p36/d2203	Roger Miller was born on January 2, 1936 in the western city of Fort Worth, Texas. 	"male.n.02 Name ""Roger Miller"" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 Location +5 time.n.08 MonthOfYear 1 time.n.08 DayOfMonth 2 EQU -1 EQU +1 time.n.08 YearOfCentury 1936 western.a.01 AttributeOf +1 city.n.01 EQU +1 PartOf +2 city.n.01 Name ""Fort Worth"" state.n.01 Name ""Texas"""												
p81/d1154	We will defend the city also, but we won't support the Bolsheviki. 	"person.n.01 Sub speaker time.n.08 TSU now defend.v.03 Agent -2 Time -1 Theme +1 city.n.01 CONTRAST <1 person.n.01 Sub speaker NEGATION <1 time.n.08 TSU now support.v.03 Agent -2 Time -1 Theme +1 party.n.01 Name ""Bolsheviki"""												
p38/d1998	George Washington was born on the twenty second of February seventeen thirty two. 	"male.n.02 Name ""George Washington"" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 YearOfCentury 1732 time.n.08 MonthOfYear 2 EQU -1 time.n.08 EQU -2"												
p05/d0919	The cow moos, the rooster crows, the pig oinks, the duck quacks, and the cat meows. 	cow.n.01 moo.v.01 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <1 rooster.n.01 crow.v.03 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <3 pig.n.01 oink.v.01 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <1 duck.n.01 quack.v.01 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <5 cat.n.01 meow.v.01 Agent -1 Time +1 time.n.08 EQU now												
p36/d3158	Some of the apples in the box were rotten. 	entity.n.01 SubOf +1 apple.n.01 Location +1 box.n.01 time.n.08 TPR now rotten.a.02 AttributeOf -4 Time -1												
p60/d1977	Tom and Mary stopped and picked up a hitchhiker. 	"male.n.02 Name ""Tom"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Mary"" stop.v.01 Theme -2 Time +1 time.n.08 TPR now pick_up.v.03 Agent -4 Time +1 Theme +2 time.n.08 TPR now person.n.01 Role +1 hitchhiker.n.01"												
p25/d1564	Anna has chestnut brown hair, but Magdalena has blonde hair. 	"female.n.02 Name ""Anna"" have.v.02 Pivot -1 Time +1 Theme +3 time.n.08 EQU now chestnut.a.01 hair.n.01 Colour -1 CONTRAST <1 female.n.02 Name ""Magdalena"" have.v.02 Pivot -1 Time +1 Theme +3 time.n.08 EQU now blonde.a.01 hair.n.01 Colour -1"												
p91/d1239	According to the police, 89 people were temporarily detained. 	according.a.02 Proposition >1 Source +1 police.n.01 CONTINUATION <0 quantity.n.01 EQU 89 person.n.01 Quantity -1 time.n.08 TPR now temporarily.r.01 detain.v.01 Patient -3 Time -2 Manner -1												
p77/d0715	The movie “Speed” was directed by Jan De Bont.	"movie.n.01 Name ""Speed"" movie.n.01 EQU -1 time.n.08 TPR now direct.v.03 Theme -2 Time -1 Agent +1 male.n.02 Name ""Jan De Bont"""												
p23/d1258	Experts are still cooling the wagons with water, the fire brigade reports. 	person.n.01 Role +1 expert.n.01 time.n.08 EQU now cool.v.01 Agent -3 Time -1 Patient +1 Instrument +2 wagon.n.01 water.n.06 CONTINUATION <0 fire_brigade.n.01 report.v.01 Proposition <1 Agent -1 Time +1 time.n.08 EQU now												
p03/d1832	The airplane flies at a speed of five hundred kilometers per hour. 	airplane.n.01 fly.v.01 Theme -1 Time +1 Attribute +2 time.n.08 EQU now speed.n.01 Value +3 quantity.n.01 EQU 500 kilometer.n.01 Quantity -1 division.n.11 Theme -1 Co-Theme +1 hour.n.01 Quantity 1												
p72/d1176	The main product is polyphosphoric acid, which is used to manufacture gasoline in South Africa. 	"main.a.01 AttributeOf +1 product.n.02 be.v.01 Co-Theme -1 Time +1 Theme +2 time.n.08 EQU now polyphosphoric_acid.n.01 entity.n.01 EQU -1 time.n.08 EQU now use.v.01 Theme -2 Time -1 Goal +1 manufacture.v.01 Theme -3 Result +1 Location +2 gasoline.n.01 country.n.02 Name ""South Africa"""												
p64/d2777	There was an old castle to the east of the town. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +3 Location +4 time.n.08 TPR now old.a.02 Value + castle.n.02 Theme -1 east.n.05 Of +1 town.n.01												
p07/d0133	No one is working. Everyone's watching the World Cup. 	"NEGATION <1 person.n.01 time.n.08 EQU now work.v.01 Agent -2 Time -1 CONTINUATION <1 NEGATION <1 person.n.01 NEGATION <1 time.n.08 EQU now watch.v.01 Agent -2 Time -1 Theme +1 tournament.n.01 Name ""World Cup"""												
p42/d3142	Her boyfriend cheated on her over and over again. 	female.n.02 person.n.01 Role +1 boyfriend.n.01 Of -2 cheat.v.04 Agent -2 Time +1 Patient +2 time.n.08 TPR now female.n.02 ANA -5												
p02/d2843	Tom took out his handkerchief and blew his nose. 	"male.n.02 Name ""Tom"" take_out.v.06 Agent -1 Time +1 Theme +3 time.n.08 TPR now male.n.02 ANA -3 handkerchief.n.01 User -1 blow.v.03 Agent -5 Time +1 Patient +3 time.n.08 TPR now male.n.02 ANA -7 nose.n.01 PartOf -1"												
p17/d0878	The wizard waved his magic wand and disappeared into thin air. 	person.n.01 Role +1 wizard.n.02 wave.v.02 Agent -2 Time +1 Theme +4 time.n.08 TPR now male.n.02 ANA -4 magic.a.01 AttributeOf +1 wand.n.01 User -2 disappear.v.02 Theme -7 Time +1 Destination +2 time.n.08 TPR now thin_air.n.01												
p28/d2276	The old man was run over by a car. 	old.a.01 Value + man.n.01 Attribute -1 time.n.08 TPR now run_over.v.01 Patient -2 Time -1 Causer +1 car.n.01												
p96/d2500	Her very long, black eyelashes set off the aristocratic pallor of her cheeks. 	female.n.02 very.r.01 long.a.02 Degree -1 AttributeOf +2 black.a.01 eyelash.n.01 PartOf -4 Colour -1 set_off.v.03 Causer -1 Time +1 Theme +3 time.n.08 TPR now aristocratic.a.01 AttributeOf +1 pallor.n.01 AttributeOf +2 female.n.02 ANA -9 cheek.n.01 PartOf -1												
p44/d1565	He was very scared when he saw this big snake. 	male.n.02 time.n.08 TPR now very.r.01 scared.a.01 Experiencer -3 Time -2 Degree -1 male.n.02 ANA -4 see.v.01 Experiencer -1 TIN -2 Time +1 Stimulus +3 time.n.08 TPR now big.a.01 Value + snake.n.01 Attribute -1												
p98/d3365	He squashed the insect with the heel of his foot. 	male.n.02 squash.v.01 Agent -1 Time +1 Patient +2 Instrument +3 time.n.08 TPR now insect.n.01 heel.n.01 PartOf +2 male.n.02 ANA -5 foot.n.01 PartOf -1												
p50/d0231	Xiaoding's father's name is written down on the envelope. 	"female.n.02 Name ""Xiaoding"" person.n.01 Role +1 father.n.01 Of -2 name.n.01 Bearer -2 time.n.08 EQU now write_down.v.01 Theme -2 Time -1 Destination +1 envelope.n.01"												
p25/d1381	"What was the name of the high school in ""Grease""? "	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now name.n.01 Bearer +1 Context +2 high_school.n.01 situation_comedy.n.02 Name ""Grease"""												
p36/d1552	The ships were buffeted by the wind and the rain. 	ship.n.01 time.n.08 TPR now buffet.v.01 Theme -2 Time -1 Causer +2 wind.n.01 entity.n.01 Sub -1 Sub +1 rain.n.01												
p18/d3112	A man of wealth has to pay a lot of income tax. 	NEGATION <1 man.n.01 Attribute +1 wealth.n.01 NEGATION <1 NECESSITY <1 pay.v.01 Agent -2 Theme +1 entity.n.01 Quantity + EQU +1 income_tax.n.01												
p10/d2978	Lungs, heart, veins, arteries and capillaries form the cardiovascular system. 	lung.n.01 heart.n.02 vein.n.01 artery.n.01 entity.n.01 Sub -4 Sub -3 Sub -2 Sub -1 Sub +1 capillary.n.02 form.v.02 Attribute -2 Time +1 Theme +2 time.n.08 EQU now cardiovascular_system.n.01												
p69/d1719	If a philosopher doesn't have a long, white beard, I don't trust him. 	person.n.01 Role +1 philosopher.n.01 NEGATION <1 time.n.08 EQU now have.v.02 Pivot -3 Time -1 Theme +3 long.a.02 Value + white.a.01 beard.n.01 Attribute -2 Colour -1 CONSEQUENCE <1 person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now trust.v.01 Experiencer -2 Time -1 Stimulus +1 male.n.02 ANA -10												
p99/d1494	Tom was booed by a number of audience members. 	"male.n.02 Name ""Tom"" time.n.08 TPR now boo.v.01 Stimulus -2 Time -1 Experiencer +1 entity.n.01 Quantity + EQU +2 audience.n.01 person.n.01 Role +1 member.n.01 PartOf -2"												
p21/d2297	Tom and Mary are always flirting with each other. 	"NEGATION <1 time.n.08 NEGATION <1 male.n.02 Name ""Tom"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Mary"" time.n.08 EQU now flirt.v.01 Co-Agent -3 Agent -3 Time -1"												
p20/d1392	How many time zones are there in the world? 	time_zone.n.01 Quantity ? be.v.03 Theme -1 Time +1 EQU +2 Location +3 time.n.08 EQU now entity.n.01 world.n.04												
p57/d2146	Italo Calvino was born on the island of Cuba in 1923. 	"male.n.02 Name ""Italo Calvino"" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 Time +3 island.n.01 EQU +1 island.n.01 Name ""Cuba"" time.n.08 YearOfCentury 1923"												
p04/d2743	The prince and the princess fell instantly in love. 	person.n.01 Role +1 prince.n.01 entity.n.01 Sub -2 Sub +1 person.n.01 Role +1 princess.n.01 fall.v.03 Patient -3 Time +1 Manner +2 Result +3 time.n.08 TPR now instantly.r.01 in_love.a.01 Experiencer -6												
p15/d1257	The bus tipped over into a two-meter high embankment. 	bus.n.01 tip_over.v.02 Theme -1 Time +1 Destination +4 time.n.08 TPR now meter.n.01 Quantity 2 high.a.01 Value -1 AttributeOf +1 embankment.n.01												
p04/d2955	The maid arranged the knives and forks on the table. 	person.n.01 Role +1 maid.n.01 arrange.v.01 Agent -2 Time +1 Theme +3 Destination +5 time.n.08 TPR now knife.n.01 entity.n.01 Sub -1 Sub +1 fork.n.01 table.n.02												
p78/d2585	The Beatles gave five concerts in Tokyo in 1996. 	"musical_organization.n.01 Name ""Beatles"" give.v.32 Agent -1 Time +1 Theme +3 Location +4 Time +5 time.n.08 TPR now quantity.n.01 EQU 5 concert.n.01 Quantity -1 city.n.01 Name ""Tokyo"" time.n.08 YearOfCentury 1996"												
p26/d1497	Thanks to technological innovations, maximum outputs of the factory have doubled. 	technological.a.01 Causer +1 innovation.n.01 maximum.a.01 AttributeOf +1 output.n.01 Creator +1 factory.n.01 double.v.01 Time -4 Patient -2 Time +1 time.n.08 TPR now												
p82/d0836	He put milk into his tea and stirred it. 	male.n.02 put.v.01 Agent -1 Time +1 Theme +2 Destination +4 time.n.08 TPR now milk.n.01 male.n.02 ANA -4 tea.n.01 Consumer -1 stir.v.01 Agent -6 Time +1 Patient +2 time.n.08 TPR now entity.n.01 ANA -3												
p49/d1828	Tom is head over heels in love with Mary. 	"male.n.02 Name ""Tom"" time.n.08 EQU now head_over_heels.r.01 in_love.a.01 Experiencer -3 Time -2 Manner -1 Stimulus +1 female.n.02 Name ""Mary"""												
p00/d0004	A brown dog and a grey dog are fighting in the snow 	brown.a.01 dog.n.01 Colour -1 entity.n.01 Sub -1 Sub +2 grey.a.01 dog.n.01 Colour -1 time.n.08 EQU now fight.v.01 Agent -4 Time -1 Location +1 snow.n.02												
p32/d2121	The bag was big, and moreover, it was heavy. 	bag.n.01 time.n.08 TPR now big.a.01 AttributeOf -2 Time -1 CONTINUATION <1 entity.n.01 ANA -3 time.n.08 TPR now heavy.a.01 AttributeOf -2 Time -1												
